epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2317,1.62372,2.56918,1.06896,0.81044,0.68818,0.78113,0.42639,1.49558,1.3881,1.03085,0.000415704,0.000415704,0.000415704
2,96.2709,1.54692,1.32513,1.05117,0.9243,0.76687,0.84737,0.46885,1.47163,0.99911,1.03867,0.000749966,0.000749966,0.000749966
3,131.503,1.49448,1.00648,1.03621,0.84756,0.83524,0.89149,0.47151,1.47066,0.9326,1.02131,0.00100173,0.00100173,0.00100173
4,166.258,1.41378,0.88079,1.00716,0.94102,0.83237,0.90562,0.53092,1.35587,0.81359,0.98432,0.00087875,0.00087875,0.00087875
5,201.347,1.35108,0.79019,0.98351,0.94489,0.86611,0.92343,0.5483,1.33646,0.75951,0.96592,0.000755,0.000755,0.000755
6,237.152,1.31031,0.73394,0.96519,0.95954,0.90715,0.94713,0.59455,1.24126,0.67491,0.9339,0.00063125,0.00063125,0.00063125
7,272.126,1.26095,0.68144,0.94574,0.96146,0.91497,0.94938,0.61005,1.20661,0.6217,0.92792,0.0005075,0.0005075,0.0005075
8,306.737,1.20762,0.65057,0.92974,0.95936,0.92061,0.95555,0.61244,1.18085,0.62694,0.91568,0.00038375,0.00038375,0.00038375
9,341.546,1.16839,0.61223,0.9227,0.95747,0.93088,0.9581,0.64332,1.1271,0.58278,0.90458,0.00026,0.00026,0.00026
10,376.646,1.12724,0.5822,0.90824,0.95677,0.94417,0.9588,0.64145,1.09582,0.56095,0.90202,0.00013625,0.00013625,0.00013625
