epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9806,1.74813,3.00245,1.12305,0.76087,0.69009,0.74099,0.36893,1.60642,2.01973,1.08303,0.00332564,0.00332564,0.00332564
2,79.7326,1.69198,1.83751,1.0891,0.82515,0.74614,0.8344,0.42597,1.60381,1.49211,1.07949,0.00659304,0.00659304,0.00659304
3,117.428,1.7489,1.56031,1.12786,0.66753,0.58983,0.65656,0.30536,1.75863,1.51734,1.15786,0.00979445,0.00979445,0.00979445
4,154.116,1.76287,1.33913,1.13168,0.77022,0.6257,0.7,0.35812,1.65305,1.27139,1.09985,0.009703,0.009703,0.009703
5,191.754,1.70468,1.17387,1.11529,0.74266,0.71243,0.76444,0.36903,1.68055,1.19435,1.1397,0.009604,0.009604,0.009604
6,228.953,1.65596,1.07661,1.09723,0.89802,0.8147,0.86955,0.47251,1.44324,1.00354,1.03628,0.009505,0.009505,0.009505
7,266.653,1.57731,1.01644,1.07123,0.92308,0.8267,0.88458,0.48293,1.4808,0.88216,1.03889,0.009406,0.009406,0.009406
8,304.173,1.54717,0.95688,1.05452,0.8778,0.80207,0.86501,0.50237,1.4353,0.91317,1.04673,0.009307,0.009307,0.009307
9,341.335,1.5168,0.92713,1.04595,0.88428,0.8329,0.89373,0.51445,1.37534,0.85702,1.01594,0.009208,0.009208,0.009208
10,378.403,1.49305,0.89364,1.04487,0.93113,0.88132,0.92984,0.54795,1.34694,0.75546,1.0013,0.009109,0.009109,0.009109
11,414.427,1.46369,0.87866,1.02746,0.9484,0.89019,0.94058,0.56572,1.328,0.73798,0.9938,0.00901,0.00901,0.00901
12,452.14,1.46196,0.86302,1.03221,0.93806,0.85928,0.92299,0.55307,1.3388,0.73624,0.99609,0.008911,0.008911,0.008911
13,487.804,1.43505,0.84841,1.02444,0.93954,0.88925,0.9401,0.55935,1.31228,0.76504,0.97615,0.008812,0.008812,0.008812
14,521.51,1.41359,0.82755,1.00955,0.96717,0.8991,0.94181,0.56518,1.32593,0.72179,0.97877,0.008713,0.008713,0.008713
15,555.264,1.38831,0.79902,1.0046,0.93426,0.89617,0.9342,0.57428,1.25904,0.68573,0.96738,0.008614,0.008614,0.008614
16,588.99,1.39365,0.79572,1.00126,0.95202,0.89845,0.94486,0.57921,1.26578,0.68257,0.96404,0.008515,0.008515,0.008515
17,622.47,1.38411,0.78397,0.99771,0.92767,0.90441,0.94026,0.57253,1.24787,0.68115,0.96175,0.008416,0.008416,0.008416
18,655.882,1.37387,0.78965,0.99507,0.93162,0.90362,0.93823,0.57804,1.25783,0.68672,0.95812,0.008317,0.008317,0.008317
19,689.229,1.33886,0.75509,0.98443,0.95803,0.89094,0.93616,0.59853,1.23959,0.65527,0.96329,0.008218,0.008218,0.008218
20,722.664,1.34804,0.75645,0.99349,0.94719,0.8983,0.94093,0.60301,1.20778,0.6597,0.95532,0.008119,0.008119,0.008119
21,756.285,1.32532,0.7482,0.9933,0.97744,0.91133,0.95715,0.61356,1.21077,0.63124,0.94787,0.00802,0.00802,0.00802
22,792.289,1.32545,0.73474,0.98628,0.96395,0.90821,0.95335,0.60687,1.23288,0.6636,0.95765,0.007921,0.007921,0.007921
23,829.226,1.30763,0.73631,0.98131,0.96577,0.92333,0.95577,0.61978,1.18579,0.63865,0.94275,0.007822,0.007822,0.007822
